Nr,game_system,name,Beschreibung,Quelle,source_id,page_number,bonus,stufe,ap,Art,Zauberdauer,Reichweite,Wirkungsziel,Wirkungsbereich,Wirkungsdauer,Ursprung,Category,learning_category,Agens,Reagens,Material (Kosten) bzw. Auftragen auf,Zauberrune
13,midgard,Bittersalz,,MYS,3,,,1,1,Gedanke,Augenblick,500 m,Umgebung,1 Objekt,0,dä,Zerstören,Zaubersalz,Eis,Holz,0,Bittersalz
14,midgard,Blaue Bannsphäre,,MYS,3,,,3,2,Wort,Augenblick,0 m,Geist,3 m Umkreis,2 min,gö,Beherrschen,Zaubersiegel,Luft,Eis,Boden,Blaue Bannsphäre
15,midgard,Blenden,,MYS,3,,,8,4,Geste,Augenblick,-,Umgebung,15 m Kegel,1 min,gö,Erschaffen,Runenstab,Feuer,Feuer,0,Blenden
16,midgard,Blendsalz,,MYS,3,,,2,1,Gedanke,Augenblick,500 m,Umgebung,6 m Umkreis,10 sec,dä,Erschaffen,Zaubersalz,Feuer,Feuer,0,Blendsalz
17,midgard,Blicksalz,,MYS,3,,,2,1,Gedanke,Augenblick,500 m,Umgebung,15 m Umkreis,10 sec,dä,Beherrschen,Zaubersalz,Magan,Feuer,0,Blicksalz
18,midgard,Blitze schleudern,,MYS,3,,,6,2,Geste,Augenblick,200 m,Umgebung,Strahl,0,dä,Erschaffen,Runenstab,Luft,Feuer,0,Blitze schleudern
19,midgard,Dämonenaustreibung,,MYS,3,,,3,5,Wort,10 min,Berührung,Körper,1 Wesen,0,gö,Bewegen,Thaumatherapie,Magan,Feuer,0,Dämonenaustreibung
20,midgard,Dämonenblitz,,MYS,3,,,3,1,Geste,Augenblick,30 m,Umgebung,Strahl,0,dä,Erschaffen,Runenstab,Magan,Magan,0,Dämonenblitz
21,midgard,Dämonenschwert,,MYS,3,,,6,4,Geste,Augenblick,0 m,Umgebung,-,2 min,dä,Erschaffen,Runenstab,Magan,Magan,0,Dämonenschwert
22,midgard,Dämonenzeiger,,MYS,3,,,2,1,Geste,1 min,Berührung,Geist,1 Wesen,0,gö,Erkennen,Thaumatherapie,Magan,Feuer,0,Dämonenzeiger
23,midgard,Deckmantel,,MYS,3,,,7,6,Wort,Augenblick,0 m,Umgebung,6 m Umkreis,8 h,dä,Zerstören,Zaubersiegel,Magan,Magan,Boden,Deckmantel
24,midgard,Die Bierrune,,MYSE,5,,,1,1,Geste,30 min,-,Umgebung,1 Eichenholzfass,7 Tage,gö,Verändern,Zauberrune E,Holz,Wasser,Fass (-),Die Bierrune
25,midgard,Die Friedensrune,,MYSE,5,,,11,9,Geste,30 min,-,Geist,2 oder mehr Wesen,0,gö,Beherrschen,Zauberrune E,Metall,Wasser,Goldreif (100 GS9,Die Friedensrune
26,midgard,Die Hortrune,,MYSE,5,,,8,mind. 9,Geste,30 min,30 m,Geist,1 Zwergenhort,1 Jahr und 1 Tag,gö,Beherrschen,Zauberrune E,Feuer,Feuer,Drachenschuppe (10 GS),Die Hortrune
27,midgard,Die Trollrune,,MYSE,5,,,8,6,Geste,30 min,10 km,Geist,1 Wesen,∞,gö,Beherrschen,Zauberrune E,Feuer,Erde,Persönlicher Gegenstand (-),Die Trollrune
28,midgard,Dinge verbergen,,MYS,3,,,1,1,Wort,Augenblick,Berührung,Geist,1 Objekt,12 h,dä,Zerstören,Zaubersiegel,Magan,Magan,Oberfläche,Dinge verbergen
29,midgard,Dinge wiederfinden,,MYS,3,,,1,1,Wort,Augenblick,unbegrenzt,Umgebung,1 Objekt,10 min,dä,Erkennen,Zaubersiegel,Magan,Metall,Oberfläche,Dinge wiederfinden
30,midgard,Donnerkeil,,MYS,3,,,8,4,Geste,Augenblick,50 m,Umgebung,Strahl,0,dä,Erschaffen,Runenstab,Luft,Feuer,0,Donnerkeil
31,midgard,Drachenrune,,MYS,3,,,8,6,Geste,30 min,-,Körper,1 Wesen,1 h,gö,Verändern,Zauberrune,Feuer,Erde,Drachenschuppe (10 GS),Drachenrune
32,midgard,Drosselrune,,MYS,3,,,7,4,Geste,30 min,-,Körper,1 Wesen,0,gö,Verändern,Zauberrune,Eis,Erde,Krähenknöchelchen (-),Drosselrune
33,midgard,Duftschleier,,MYS,3,,,4,2 je Wesen,Geste,1 min,Berührung,Körper,1-6 Wesen,30 min,dr,Verändern,Dweomer,Holz,Erde,0,Duftschleier
34,midgard,Durstsalz,,MYS,3,,,1,1,Gedanke,Augenblick,500 m,Körper,1 Wesen,0,dä,Verändern,Zaubersalz,Wasser,Erde,0,Durstsalz
35,midgard,Eisenhaut,,MYS,3,,,7,4,Wort,Augenblick,Berührung,Körper,1 Wesen,2 min,dä,Verändern,Zaubersiegel,Metall,Erde,Brust und Rücken,Eisenhaut
36,midgard,Elixier der Erinnerung,,MYS,3,,,5,3,Geste,10 min,Berührung,Geist,1 Wesen,6 h,dä,Verändern,Thaumatherapie,Magan,Luft,0,Elixier der Erinnerung
37,midgard,Elixier der Reflexe,,MYS,3,,,2,1,Geste,5 min,Berührung,Körper,1 Wesen,30 min,dä,Verändern,Thaumatherapie,Magan,Feuer,0,Elixier der Reflexe
38,midgard,Elixier der Wärmesicht,,MYS,3,,,3,2,Geste,5 min,Berührung,Körper,1 Wesen,30 min,dä,Verändern,Thaumatherapie,Feuer,Feuer,0,Elixier der Wärmesicht
39,midgard,Elixier des Geistes,,MYS,3,,,4,3,Geste,5 min,Berührung,Körper,1 Wesen,30 min,dä,Verändern,Thaumatherapie,Metall,Wasser,0,Elixier des Geistes
40,midgard,Elixier des Hörens,,MYS,3,,,2,2,Geste,5 min,Berührung,Körper,1 Wesen,30 min,dä,Verändern,Thaumatherapie,Magan,Wasser,0,Elixier des Hörens
41,midgard,Elixier des Körpers,,MYS,3,,,4,3,Geste,5 min,Berührung,Körper,1 Wesen,30 min,dä,Verändern,Thaumatherapie,Metall,Wasser,0,Elixier des Körpers
42,midgard,Elixier des Riechens,,MYS,3,,,2,2,Geste,5 min,Berührung,Körper,1 Wesen,30 min,dä,Verändern,Thaumatherapie,Magan,Erde,0,Elixier des Riechens
43,midgard,Elixier des Sehens,,MYS,3,,,2,2,Geste,5 min,Berührung,Körper,1 Wesen,30 min,dä,Verändern,Thaumatherapie,Magan,Feuer,0,Elixier des Sehens
44,midgard,Erfrischungselixier,,MYS,3,,,3,3,Geste,10 min,Berührung,Körper,1 Wesen,0,dä,Erschaffen,Thaumatherapie,Magan,Feuer,0,Erfrischungselixier
45,midgard,Erholungselixier,,MYS,3,,,7,5,Geste,10 min,Berührung,Körper,1 Wesen,4 h,dä,Verändern,Thaumatherapie,Magan,Feuer,0,Erholungselixier
46,midgard,Erkennen von Leben,,MYS,3,,,1,1,Wort,Augenblick,0 m,Umgebung,15 m Kegel,1 min,dä,Erkennen,Zaubersiegel,Magan,Wasser,Boden,Erkennen von Leben
47,midgard,Erkennen von Zauberei,,MYS,3,,,4,2,Wort,Augenblick,3 m,Umgebung,1 Objekt,0,dä,Erkennen,Zaubersiegel,Magan,Magan,Oberfläche,Erkennen von Zauberei
48,midgard,Ermutigen,,MYS,3,,,2,2,Wort,Augenblick,15 m,Geist,1 Wesen,2 min,dr,Beherrschen,Dweomer,Holz,Wasser,0,Ermutigen
49,midgard,Färbersalz,,MYS,3,,,2,1,Gedanke,Augenblick,500 m,Umgebung,1 Objekt,1 h,dä,Formen,Zaubersalz,Magan,Holz,0,Färbersalz
50,midgard,Fesselbann,,MYS,3,,,6,2 je Grad,Geste,Augenblick,30 m,Körper,1 Wesen,"10 min, k",gö,Erschaffen,Runenstab,Luft,Magan,0,Fesselbann
51,midgard,Fesselrune,,MYS,3,,,8,4,Geste,30 min,30 m,Körper,1 Wesen,6 h,gö,Verändern,Zauberrune,Metall,Erde,Espenholz und Wollfäden (5 SS),Fesselrune
52,midgard,Festrune,,MYS,3,,,7,4,Geste,30 min,-,Umgebung,Materie für 1 Objekt,6 h,gö,Formen,Zauberrune,Metall,Metall,Eisennagel (2 KS),Festrune
53,midgard,Feuerfinger,,MYS,3,,,1,1,Geste,Augenblick,0 m,Umgebung,3 m Umkreis,2 min,el,Erschaffen,Runenstab,Feuer,Feuer,0,Feuerfinger
54,midgard,Feuerkugel,,MYS,3,,,3,2,Geste,Augenblick,50 m,Umgebung,3 m Umkreis,"2 min, k",el,Erschaffen,Runenstab,Feuer,Feuer,0,Feuerkugel
55,midgard,Feuerlanze,,MYS,3,,,6,3,Geste,Augenblick,50 m,Umgebung,Strahl,0,el,Erschaffen,Runenstab,Feuer,Feuer,0,Feuerlanze
56,midgard,Feuerlauf,,MYS,3,,,5,3,Wort,Augenblick,-,Körper,1 Wesen,10 min,el,Verändern,Zaubersiegel,Erde,Erde,Arme oder Beine,Feuerlauf
57,midgard,Feuerring,,MYS,3,,,8,4,Wort,Augenblick,15 m,Umgebung,6 m Umkreis,30 min,el,Erschaffen,Zaubersiegel,Feuer,Feuer,Boden,Feuerring
58,midgard,Feuerschild,,MYS,3,,,6,3,Wort,Augenblick,15 m,Umgebung,-,2 min,el,Erschaffen,Zaubersiegel,Eis,Eis,Boden,Feuerschild
59,midgard,Filtern,,MYS,3,,,1,1,Geste,5 min,0 m,Umgebung,1 Liter,0,dä,Zerstören,Thaumatherapie,Magan,Eis,0,Filtern
60,midgard,Flammende Hand,,MYS,3,,,4,3,Wort,Augenblick,0 m,Umgebung,1 Wesen,2 min,el,Erschaffen,Zaubersiegel,Feuer,Feuer,Hand,Flammende Hand
61,midgard,Flammenklinge,,MYS,3,,,6,4,Wort,Augenblick,Berührung,Umgebung,1 Objekt,10 min,el,Formen,Zaubersiegel,Feuer,Metall,Klinge,Flammenklinge
62,midgard,Flammenkreis,,MYS,3,,,2,1,Wort,Augenblick,Berührung,Umgebung,1 Wesen,2 min,dr,Erschaffen,Zaubersiegel,Holz,Holz,Brust,Flammenkreis
63,midgard,Flammenrune,,MYS,3,,,5,3,Geste,30 min,1 m,Umgebung,1 Wesen/Objekt,1 h,gö,Zerstören,Zauberrune,Wasser,Feuer,Drachenschuppe (10 GS),Flammenrune
64,midgard,Fliegensalz,,MYS,3,,,2,1,Gedanke,Augenblick,500 m,Umgebung,1 Wesen/Objekt,1 h,dä,Formen,Zaubersalz,Holz,Luft,0,Fliegensalz
65,midgard,Flugsiegel,,MYS,3,,,12,10,Wort,Augenblick,Berührung,Umgebung,1 Objekt,"1 h, k",dä,Bewegen,Zaubersiegel,Luft,Holz,Oberfläche,Flugsiegel
66,midgard,Freundesauge,,MYS,3,,,7,4,Wort,Augenblick,500 m,Geist,1 Wesen,"30 min, k",dä,Beherrschen,Zaubersiegel,Wasser,Feuer,Körper,Freundesauge
67,midgard,Freundesauge,,MYS,3,,,7,4,Gedanke,10 sec,500 m,Geist,1 Wesen,"30 min, k",dr,Beherrschen,Dweomer,Holz,Feuer,0,Freundesauge
68,midgard,Frostball,,MYS,3,,,2,1,Geste,Augenblick,200 m,Umgebung,Strahl,0,el,Erschaffen,Runenstab,Eis,Eis,0,Frostball
69,midgard,Funkensalz,,MYS,3,,,1,1,Gedanke,Augenblick,500 m,Umgebung,1 Objekt,10 min,dä,Erschaffen,Zaubersalz,Feuer,Feuer,0,Funkensalz
70,midgard,Fylgienblick,,MYS,3,,,6,3,Gedanke,30 sec,15 m,Geist,1 Wesen,1 h,dr,Erkennen,Dweomer,Holz,Feuer,0,Fylgienblick
71,midgard,Gamsrune,,MYS,3,,,3,2,Geste,30 min,-,Körper,1 Wesen,6 h,gö,Verändern,Zauberrune,Luft,Erde,Eibenholzstecken und Gamsbart (2 GS),Gamsrune
72,midgard,Geberrune,,MYS,3,,,4,2,Geste,30 min,-,Geist,1 Wesen,∞,gö,Verändern,Zauberrune,Luft,Luft,Silberscheibe in Münzgröße (2 SS),Geberrune
73,midgard,Gefährtenruf,,MYS,3,,,1,1,Gedanke,Augenblick,6 km,Geist,1 Wesen,0,dr,Beherrschen,Dweomer,Holz,Wasser,0,Gefährtenruf
74,midgard,Gegengift,,MYS,3,,,4,4,Geste,1 min,Berührung,Körper,1 Wesen,0,dr,Zerstören,Thaumatherapie,Holz,Eis,0,Gegengift
75,midgard,Geisterrune,,MYS,3,,,7,4,Geste,30 min,-,Körper,1 Wesen,10 min,gö,Beherrschen,Zauberrune,Luft,Feuer,Apfelbaumholzstab (5 SS),Geisterrune
76,midgard,Geistersperre,,MYS,3,,,6,1,Wort,Augenblick,Berührung,Umgebung,5 m² Fläche,8 h,dä,Erschaffen,Zaubersiegel,Metall,Metall,Fläche,Geistersperre
77,midgard,Geistesschutz,,MYS,3,,,8,4,Wort,Augenblick,15 m,Geist,1 Wesen,10 min,dä,Zerstören,Zaubersiegel,Feuer,Magan,Stirn,Geistesschutz
78,midgard,Geizrune,,MYS,3,,,3,2,Geste,30 min,-,Geist,1 Wesen,∞,gö,Verändern,Zauberrune,Luft,Luft,Pferdeschädel (5 GS),Geizrune
79,midgard,Geräusche dämpfen,,MYS,3,,,2,1,Wort,Augenblick,0 m,Umgebung,3 m Umkreis,5 min,dä,Formen,Zaubersiegel,Metall,Luft,Stirn,Geräusche dämpfen
80,midgard,Gesichtsrune,,MYS,3,,,9,6,Geste,30 min,15 m,Geist,Zauberer,6 h,gö,Erkennen,Zauberrune,Luft,Magan,Eschenwurzelstück (1 GS),Gesichtsrune
81,midgard,Giftzeiger,,MYS,3,,,3,1,Geste,1 min,Berührung,Umgebung,1 Objekt,0,dä,Erkennen,Thaumatherapie,Magan,Eis,0,Giftzeiger
82,midgard,Glanz,,MYS,3,,,4,2,Geste,10 min,Berührung,Körper,1 Wesen,6 h,dä,Verändern,Thaumatherapie,Magan,Wasser,0,Glanz
83,midgard,Goldener Panzer,,MYS,3,,,4,2,Wort,Augenblick,Berührung,Umgebung,1 Wesen,2 min,dä,Formen,Zaubersiegel,Metall,Metall,Rüstung,Goldener Panzer
84,midgard,Haarsalz,,MYS,3,,,1,1,Gedanke,Augenblick,500 m,Körper,1 Wesen,0,dä,Verändern,Zaubersalz,Holz,Erde,0,Haarsalz
85,midgard,Hagelrune,,MYS,3,,,1,1,Geste,30 min,-,Umgebung,1 Wesen,7 Tage,gö,Verändern,Zauberrune,Magan,Wasser,Wildschafknochen (5 SS),Hagelrune
86,midgard,Hauch der Betäubung,,MYS,3,,,5,3,Wort,Augenblick,0 m,Umgebung,bis zu 18 m Umkreis,1 min,dä,Erschaffen,Zaubersiegel,Eis,Holz,Boden,Hauch der Betäubung
87,midgard,Hauch der Verwesung,,MYS,3,,,4,2,Wort,Augenblick,0 m,Umgebung,bis zu 18 m Umkreis,1 min,dä,Erschaffen,Zaubersiegel,Eis,Erde,Boden,Hauch der Verwesung
88,midgard,Hauch des Winters,,MYS,3,,,1,1,Geste,Augenblick,0 m,Umgebung,12 m Umkreis,10 min,el,Formen,Runenstab,Eis,Luft,0,Hauch des Winters
89,midgard,Heilen von Krankheit,,MYS,3,,,4,2,Geste,10 min,Berührung,Körper,1 Wesen,0,gö,Zerstören,Thaumatherapie,Holz,Eis,0,Heilen von Krankheit
90,midgard,Heilsrune,,MYS,3,,,4,2,Geste,30 min,-,Körper,1 Wesen,1 Tag,gö,Zerstören,Zauberrune,Holz,Eis,Buchenholzstück (1 KS),Heilsrune
91,midgard,Heimstein,,MYSE,5,,,12,mind. 9,Wort,Augenblick,0 m,Umgebung,50 m Umkreis,∞,dä,Zerstören,Zaubersiegel E,Magan,Magan,0,Heimstein
92,midgard,Heranholen,,MYS,3,,,1,1,Wort,Augenblick,30 m,Umgebung,1 Objekt,10 sec,dä,Bewegen,Zaubersiegel,Luft,Metall,Hand,Heranholen
93,midgard,Hitzeschutz,,MYS,3,,,2,1,Wort,Augenblick,-,Körper,1 Wesen,2 min,dä,Verändern,Zaubersiegel,Wasser,Erde,Brust,Hitzeschutz
94,midgard,Hitzsalz,,MYS,3,,,1,1,Gedanke,Augenblick,500 m,Körper,1 Wesen,1 h,dä,Zerstören,Zaubersalz,Feuer,Wasser,0,Hitzsalz
95,midgard,Hörnerklang,,MYS,3,,,2,1,Geste,Augenblick,0 m,Umgebung,2 km Umkreis,10 sec,dä,Formen,Runenstab,Magan,Luft,0,Hörnerklang
96,midgard,Hufeisenrune,,MYS,3,,,4,2,Geste,30 min,-,Geist,1 Wesen,∞,gö,Beherrschen,Zauberrune,Metall,Wasser,Magnetstein (5 GS),Hufeisenrune
97,midgard,Hungersalz,,MYS,3,,,1,1,Gedanke,Augenblick,500 m,Körper,1 Wesen,0,dä,Verändern,Zaubersalz,Feuer,Erde,0,Hungersalz
98,midgard,Jucksalz,,MYS,3,,,2,1,Gedanke,Augenblick,500 m,Körper,1 Wesen,10 min,dä,Verändern,Zaubersalz,Feuer,Erde,0,Jucksalz
99,midgard,Kälterune,,MYS,3,,,2,1,Geste,30 min,Berührung,Körper,1 Wesen,1 Tag,gö,Verändern,Zauberrune,Feuer,Erde,Seehundknochen (3 SS) oder Kristallsplitter (3 SS),Kälterune
100,midgard,Kälteschutz,,MYS,3,,,2,1,Wort,Augenblick,-,Körper,1 Wesen,2 min,dä,Verändern,Zaubersiegel,Feuer,Erde,Brust,Kälteschutz
101,midgard,Katzenaugen,,MYS,3,,,2,1,Gedanke,10 sec,-,Körper,Zauberer,30 min,dr,Verändern,Dweomer,Holz,Feuer,0,Katzenaugen
102,midgard,Keinsalz,,MYS,3,,,2,1,Gedanke,Augenblick,500 m,Umgebung,1 x 1 m,0,dä,Zerstören,Zaubersalz,Magan,Magan,0,Keinsalz
103,midgard,Klarlicht,,MYS,3,,,11,6,Geste,Augenblick,0 m,Umgebung,3 m Umkreis,10 min,dä,Erkennen,Runenstab,Magan,Magan,0,Klarsicht
104,midgard,Klingenrune,,MYS,3,,,7,5,Geste,10 min,-,Umgebung,1 Objekt,1W6 h,gö,Verändern,Zauberrune,Magan,Metall,Klingenwaffe (-),Klingenrune
105,midgard,Knallsalz,,MYS,3,,,2,1,Gedanke,Augenblick,500 m,Umgebung,6 m Umkreis,0,dä,Formen,Zaubersalz,Magan,Luft,0,Knallsalz
106,midgard,Kraftband,,MYS,3,,,4,2,Gedanke,10 sec,Berührung,Körper,2 Wesen,10 min,dr,Verändern,Dweomer,Holz,Feuer,0,Kraftband
107,midgard,Kräftigen,,MYS,3,,,2,1,Wort,Augenblick,Berührung,Körper,1 Wesen,0,dä,Erschaffen,Zaubersiegel,Magan,Feuer,Brust,Kräftigen
108,midgard,Krallenhände,,MYS,3,,,2,1,Geste,10 sec,-,Körper,Zauberer,2 min,dr,Verändern,Dweomer,Holz,Erde,0,Krallenhände
109,midgard,Kühlsalz,,MYS,3,,,1,1,Gedanke,Augenblick,500 m,Körper,1 Wesen,1 h,dä,Zerstören,Zaubersalz,Eis,Feuer,0,Kühlsalz
110,midgard,Kühnheitselixier,,MYS,3,,,3,2,Geste,5 min,Berührung,Geist,1 Wesen,30 min,dä,Verändern,Thaumatherapie,Magan,Feuer,0,Kühnheitselixier
111,midgard,Lachsalz,,MYS,3,,,1,1,Gedanke,Augenblick,500 m,Geist,1 Wesen,2 min,dä,Beherrschen,Zaubersalz,Luft,Luft,0,Lachsalz
112,midgard,Lauschen,,MYS,3,,,1,1,Wort,Augenblick,30 cm,Umgebung,-,5 min,dä,Formen,Zaubersiegel,Magan,Metall,Fläche,Lauschen
113,midgard,Leibesschutz,,MYS,3,,,10,4,Wort,Augenblick,15 m,Körper,1 Wesen,10 min,dä,Zerstören,Zaubersiegel,Erde,Magan,Brust,Leibesschutz
114,midgard,Leichenschau,,MYS,3,,,7,3,Geste,30 min,Berührung,Körper,1 Wesen,0,dä,Erkennen,Thaumatherapie,Magan,Eis,0,Leichenschau
115,midgard,Liebesrune,,MYS,3,,,8,4,Geste,30 min,-,Geist,1 Wesen,∞,gö,Beherrschen,Zauberrune,Wasser,Wasser,Birkenholzstück (1 KS),Liebesrune
116,midgard,Löschsalz,,MYS,3,,,2,1,Gedanke,Augenblick,500 m,Umgebung,1 Objekt,0,dä,Zerstören,Zaubersalz,Erde,Feuer,0,Löschsalz
117,midgard,Lösungsrune,,MYS,3,,,5,3,Geste,30 min,-,Umgebung,1 Wesen/Objekt,0,gö,Zerstören,Zauberrune,Luft,Magan,Espenholzstab (5 SS),Lösungsrune
118,midgard,Luftlauf,,MYS,3,,,7,4,Wort,Augenblick,-,Körper,1 Wesen,"2 min, k",el,Bewegen,Zaubersiegel,Luft,Erde,Fußsohlen,Luftlauf
119,midgard,Macht über das Selbst,,MYS,3,,,1,1,Wort,Augenblick,-,Körper,1 Wesen,"24 h, k",dä,Beherrschen,Zaubersiegel,Metall,Feuer,Stirn,Macht über das Selbst
120,midgard,Macht über die belebte Natur,,MYS,3,,,4,2 je Grad,Wort,Augenblick,30 m,Geist,1 Wesen je Grad,mind. 2 h,dä,Beherrschen,Zaubersiegel,Magan,Wasser,"Kopf, Brust und Gliedmaßen",Macht über die belebte Natur
121,midgard,Macht über Menschen,,MYS,3,,,6,3 je Grad,Wort,Augenblick,30 m,Geist,1 Wesen je Grad,mind. 2 h,dä,Beherrschen,Zaubersiegel,Magan,Luft,"Kopf, Brust und Gliedmaßen",Macht über Menschen
122,midgard,Marmorhaut,,MYS,3,,,5,3,Wort,Augenblick,Berührung,Körper,1 Wesen,10 min,el,Verändern,Zaubersiegel,Erde,Erde,Brust und Rücken,Marmorhaut
123,midgard,Mitfühlen,,MYS,3,,,2,1,Wort,Augenblick,500 m,Geist,1 Wesen,"30 min, k",dä,Erkennen,Zaubersiegel,Wasser,Wasser,Kopf,Mitfühlen
124,midgard,Niessalz,,MYS,3,,,2,1,Gedanke,Augenblick,500 m,Körper,1 Wesen,2 min,dä,Verändern,Zaubersalz,Holz,Erde,0,Niessalz
125,midgard,Person wiederfinden,,MYS,3,,,3,2,Wort,Augenblick,unbegrenzt,Körper,1 Wesen,10 min,dä,Erkennen,Zaubersiegel,Magan,Feuer,Rücken,Person wiederfinden
126,midgard,Pfeilrune,,MYS,3,,,4,2,Geste,30 min,-,Umgebung,1 Wesen,1 h,gö,Bewegen,Zauberrune,Luft,Metall,Eibenholzscheibe (5 SS),Pfeilrune
127,midgard,Pforte,,MYSE,5,,,11,9,Wort,Augenblick,3 m,Umgebung,2 × 1 m Umkreis,8 h,dä,Formen,Zaubersiegel E,Magan,Metall,0,Pforte
128,midgard,Rauchsalz,,MYS,3,,,1,1,Gedanke,Augenblick,500 m,Umgebung,1 m Umkreis,10 min,dä,Erschaffen,Zaubersalz,Feuer,Luft,0,Rauchsalz
129,midgard,Rauchwolke,,MYS,3,,,4,2,Wort,Augenblick,30 m,Umgebung,9 m Umkreis,10 min,el,Formen,Zaubersiegel,Feuer,Luft,Boden,Rauchwolke
130,midgard,Rauschsalz,,MYS,3,,,1,1,Gedanke,Augenblick,500 m,Körper,1 Wesen,0,dä,Verändern,Zaubersalz,Wasser,Erde,0,Rauschsalz
131,midgard,Reaktionsschnelle,,MYS,3,,,2,1,Wort,Augenblick,30 m,Geist,1 Wesen,10 min,dä,Verändern,Zaubersiegel,Magan,Feuer,Stirn,Reaktionsschnelle
132,midgard,Rederune,,MYS,3,,,2,1,Geste,30 min,-,Geist,1 Wesen,1 h,gö,Bewegen,Zauberrune,Luft,Feuer,Kieselstein (-),Rederune
133,midgard,Regenerieren,,MYS,3,,,7,5,Wort,Augenblick,Berührung,Körper,1 Wesen,0,dä,Erschaffen,Zaubersiegel,Magan,Feuer,Brust,Regenerieren
134,midgard,Regenrune,,MYS,3,,,5,9,Geste,30 min,-,Umgebung,1 km Umkreis,var,gö,Erschaffen,Zauberrune,Magan,Wasser,Specksteinfigur (10 GS),Regenrune
135,midgard,Reinigungselixier,,MYS,3,,,2,2,Geste,5 min,Berührung,Körper,1 Wesen,0,dä,Zerstören,Thaumatherapie,Magan,Magan,0,Reinigungselixier
136,midgard,Reiserune,,MYS,3,,,2,1,Geste,30 min,-,Körper,1 Wesen,7 Tage,gö,Verändern,Zauberrune,Magan,Wasser,Renntierknochen (5 SS),Reiserune
137,midgard,Riechsalz,,MYS,3,,,1,1,Gedanke,Augenblick,500 m,Umgebung,1 Wesen/Objekt,0,dä,Formen,Zaubersalz,Eis,Luft,0,Riechsalz
138,midgard,Rost,,MYS,3,,,1,2,Wort,Augenblick,Berührung,Umgebung,1 Objekt,0,dä,Formen,Zaubersiegel,Eis,Metall,Oberfläche,Rost
139,midgard,Rutschsalz,,MYS,3,,,2,1,Gedanke,Augenblick,500 m,Umgebung,1 Objekt,10 min,dä,Formen,Zaubersalz,Eis,Metall,0,Rutschsalz
140,midgard,Schatten verstärken,,MYS,3,,,1,1,Wort,Augenblick,0 m,Umgebung,15 m Umkreis,10 min,dä,Formen,Zaubersiegel,Eis,Feuer,Stirn,Schatten verstärken
141,midgard,Schattenlicht,,MYS,3,,,7,4,Geste,Augenblick,0 m,Umgebung,30 m Umkreis,10 min,dä,Bewegen,Runenstab,Eis,Feuer,0,Schattenlicht
142,midgard,Schattenrobe,,MYS,3,,,3,2,Wort,Augenblick,-,Umgebung,1 Wesen,10 min,dä,Formen,Zaubersiegel,Magan,Feuer,"Stirn, Brust und Gliedmaßen",Schattenrobe
